CustomerID,Antibiotics,Cold & Sick,Vitamin,Pain Relief,Allergy & Sinus,Digestive Health,Skin Care & Dermatology,Diabetes Care,Heart & Blood Pressure,Women's Health,Men's Health,Eye & Ear Care,Baby & Child Care,First Aid & Wound Care,Respiratory & Asthma,Supplements & Herbal,Weight Management,Sexual Wellness,Mental Health & Sleep,Pet Medications,PreferredCategory
1,1,13,5,8,1,1,3,8,13,3,14,13,8,10,19,5,7,5,10,1,Respiratory & Asthma
2,18,5,14,18,8,8,7,11,14,20,2,18,9,11,15,11,6,19,18,7,Women's Health
3,19,20,5,7,19,6,3,11,14,12,5,14,9,0,11,0,10,15,15,3,Cold & Sick
4,5,5,0,11,3,10,13,20,9,0,14,18,13,20,3,15,6,20,7,13,Diabetes Care
5,9,5,20,20,5,4,14,19,4,9,1,17,20,3,10,2,16,20,6,5,Vitamin
6,20,14,13,8,7,1,1,14,9,16,19,0,0,7,18,1,18,8,8,7,Antibiotics
7,18,1,6,17,11,15,1,8,13,17,8,13,7,3,6,10,7,19,8,0,Sexual Wellness
8,4,0,4,2,8,2,2,13,7,14,7,15,4,20,5,3,5,13,19,6,First Aid & Wound Care
9,3,0,4,13,15,7,20,15,19,16,6,18,0,11,4,12,9,15,2,5,Skin Care & Dermatology
10,19,6,7,0,10,17,14,8,5,12,6,5,17,17,10,16,6,1,11,2,Antibiotics
11,9,15,2,11,11,14,18,6,1,16,9,7,4,14,15,2,11,12,19,19,Mental Health & Sleep
12,6,4,15,3,16,3,6,4,17,13,16,15,12,18,8,1,9,0,14,14,First Aid & Wound Care
13,12,17,8,12,11,3,8,12,12,2,0,2,3,9,13,19,12,15,9,4,Supplements & Herbal
14,12,0,17,18,19,1,19,9,15,12,7,7,9,11,7,8,2,6,14,5,Allergy & Sinus
15,17,20,3,13,7,2,9,19,17,2,20,11,6,6,9,6,14,3,3,19,Cold & Sick
16,15,15,9,8,1,17,8,7,16,15,14,15,2,15,8,15,18,17,18,20,Pet Medications
17,5,19,4,19,8,7,13,16,2,13,19,7,20,15,1,3,15,12,3,4,Baby & Child Care
18,4,20,7,0,14,13,2,15,4,17,14,9,12,1,18,16,0,20,1,15,Cold & Sick
19,6,13,11,0,1,16,5,15,12,14,19,5,14,1,19,12,18,0,6,3,Men's Health
20,6,7,4,14,2,12,10,11,2,5,9,19,16,19,16,17,10,7,7,11,Eye & Ear Care
21,6,4,11,12,15,20,13,1,15,6,7,5,0,10,19,6,13,0,6,4,Digestive Health
22,6,6,3,2,18,19,3,14,8,0,2,10,5,5,15,0,16,7,11,8,Digestive Health
23,16,11,17,12,11,1,2,12,7,10,1,18,19,4,9,9,5,3,4,10,Baby & Child Care
24,3,8,8,20,2,19,9,12,2,5,9,14,12,1,6,6,19,20,9,4,Pain Relief
25,4,9,10,16,3,6,14,17,19,15,18,11,20,19,6,19,9,4,18,4,Baby & Child Care
26,12,0,2,17,0,2,10,14,16,5,16,1,3,0,17,4,16,2,16,9,Pain Relief
27,15,13,12,9,6,19,9,4,5,3,8,0,7,13,7,17,7,10,16,18,Digestive Health
28,10,9,13,9,13,5,9,5,16,1,7,10,15,5,20,19,9,14,19,15,Respiratory & Asthma
29,6,2,3,12,15,10,8,19,6,6,11,8,3,13,13,7,18,1,6,6,Diabetes Care
30,10,1,14,8,8,20,20,0,19,16,15,19,15,17,11,2,0,4,13,11,Digestive Health
31,20,9,15,3,14,1,10,3,12,3,17,15,7,7,9,16,1,8,3,12,Antibiotics
32,4,0,11,20,11,12,11,10,14,7,16,10,10,20,19,3,12,7,14,10,Pain Relief
33,2,2,7,14,12,2,11,9,11,19,16,6,2,8,1,11,5,9,14,2,Women's Health
34,6,17,19,19,2,14,7,13,19,2,10,3,0,10,2,6,20,8,20,13,Weight Management
35,12,13,13,19,17,1,8,2,1,11,12,18,6,17,0,12,2,7,16,9,Pain Relief
36,18,9,4,7,7,18,12,14,18,3,7,17,0,7,4,13,19,8,17,4,Weight Management
37,5,6,7,6,9,13,16,6,8,9,19,6,0,6,3,3,3,11,1,0,Men's Health
38,5,12,7,3,10,13,3,19,8,20,14,0,10,20,4,4,16,0,6,19,Women's Health
39,15,4,19,1,15,19,7,13,15,7,13,5,19,18,9,2,5,11,11,1,Vitamin
40,11,18,14,16,6,17,5,14,9,5,13,13,4,19,19,18,12,16,20,8,Mental Health & Sleep
41,1,6,2,18,5,10,2,7,10,8,7,17,8,0,18,11,2,17,6,12,Pain Relief
42,3,17,14,0,19,6,9,4,1,10,13,14,5,13,9,0,3,0,13,3,Allergy & Sinus
43,11,12,16,15,12,0,16,11,18,7,1,8,2,13,10,5,10,5,10,16,Heart & Blood Pressure
44,11,19,3,13,9,15,8,8,20,15,9,11,16,14,5,14,9,17,10,10,Heart & Blood Pressure
45,4,9,20,10,17,8,18,3,11,6,13,2,3,9,10,4,5,16,11,1,Vitamin
46,18,7,1,5,6,4,18,5,14,8,18,11,0,19,11,7,6,16,17,13,First Aid & Wound Care
47,10,8,3,17,12,6,8,3,20,9,16,19,11,0,20,0,12,10,15,5,Heart & Blood Pressure
48,6,18,11,7,13,6,19,12,10,4,1,3,14,12,13,20,9,8,12,15,Supplements & Herbal
49,0,12,3,19,13,19,5,0,4,8,15,8,19,4,13,7,5,14,18,14,Pain Relief
50,15,8,11,13,12,17,5,5,0,13,8,10,14,16,8,3,3,11,20,8,Mental Health & Sleep
51,5,4,10,5,13,9,14,17,4,8,13,17,15,7,20,9,14,0,20,14,Respiratory & Asthma
52,1,18,4,15,20,18,0,14,20,1,16,19,1,4,15,1,18,4,4,7,Allergy & Sinus
53,8,5,4,5,13,20,2,1,19,11,15,11,6,2,14,9,8,17,17,4,Digestive Health
54,18,3,12,12,15,10,8,20,19,9,16,13,11,17,11,3,2,14,3,19,Diabetes Care
55,1,1,19,2,3,0,3,2,19,5,8,0,9,9,6,14,2,2,12,20,Pet Medications
56,11,9,3,2,19,9,7,11,8,1,12,18,3,3,17,13,17,18,12,20,Pet Medications
57,13,10,19,7,3,9,11,9,8,13,18,11,12,16,19,12,4,8,18,17,Vitamin
58,14,2,5,17,6,3,2,4,18,0,17,0,4,13,1,19,0,14,10,19,Supplements & Herbal
59,1,10,11,2,6,15,7,0,16,10,2,9,1,12,14,18,15,20,3,13,Sexual Wellness
60,12,1,14,5,20,20,14,1,14,9,3,16,18,17,2,6,12,8,11,17,Allergy & Sinus
61,12,0,11,20,11,11,7,17,18,7,0,7,0,3,12,14,1,13,3,3,Pain Relief
62,11,4,0,11,20,15,19,9,2,4,12,17,8,13,10,15,0,10,3,0,Allergy & Sinus
63,1,9,4,5,12,14,19,1,8,18,0,19,12,15,20,14,14,7,17,4,Respiratory & Asthma
64,13,0,3,9,16,12,19,18,4,5,18,15,0,10,18,14,17,1,18,19,Skin Care & Dermatology
65,15,1,8,6,4,2,20,16,4,10,6,16,19,2,3,16,7,6,16,15,Skin Care & Dermatology
66,19,1,14,13,12,18,11,11,1,15,7,7,8,4,0,2,1,7,2,11,Antibiotics
67,14,14,20,4,10,17,17,18,0,1,9,20,1,19,11,11,18,12,9,10,Vitamin
68,16,6,16,6,16,11,9,8,1,12,15,15,9,6,9,17,1,11,6,19,Pet Medications
69,16,2,14,11,19,10,13,17,3,19,18,11,1,17,8,8,11,1,20,1,Mental Health & Sleep
70,0,4,17,9,8,2,0,4,6,1,19,9,5,8,14,5,9,15,11,20,Pet Medications
